0,  6.72779
0.247436,  6.60055
0.494872,  6.22834
0.742307,  5.63151
0.989743,  4.84455
1.23718,  3.9192
1.48461,  2.93698
1.73205,  2.05902
1.97949,  1.65857
2.22692,  2.05183
2.47436,  2.8604
2.72179,  3.72085
2.96923,  4.48904
3.21667,  5.10131
3.4641,  5.52605
3.71154,  5.75101
3.95897,  5.77955
4.20641,  5.62947
4.45384,  5.33257
4.70128,  4.93477
4.94872,  4.49614
5.19615,  4.08899
5.44359,  3.78903
5.69102,  3.65294
5.93846,  3.68986
6.1859,  3.85529
6.43333,  4.07769
6.68077,  4.28958
6.9282,  4.44231
7.17564,  4.50809
7.42307,  4.47758
7.67051,  4.35709
7.91795,  4.16597
8.16538,  3.93404
8.41282,  3.69808
8.66025,  3.49607
8.90769,  3.3584
9.15513,  3.29809
9.40256,  3.30616
9.65,  3.35643
9.89743,  3.41656
